state_code,age,Marriage_Status,Education_level,Primary_Occupation,total_members,SmartPhone,HaveBankACC,HUF,RationCard,GaribKalayanYojna,Annual_Routine_Expenditure,Amount_Invested,Yojana,total_income,finanicial_Status,financial_vulnerability
10,34,Unmarried,Middle,Self-employed – Agriculture,6,,No,No,BPL,No,21000.0,10000.0,0,58000.0,37000.0,47000.0
10,21,Unmarried,Post–graduate & Professional,Self-employed – Agriculture,4,,Yes,No,No card,No,346000.0,50000.0,12300,580000.0,221700.0,271700.0
10,52,Widowed,Middle,Agriculture labour,3,Feature phone/Basic phone,Yes,No,No card,No,73000.0,0.0,17000,120000.0,30000.0,30000.0
10,31,Unmarried,Up To Primary,Self-employed – Agriculture,2,,Yes,No,BPL,No,80000.0,0.0,0,208000.0,128000.0,128000.0
10,32,Unmarried,Up To Primary,Self-employed – Agriculture,2,,Yes,No,No card,No,87000.0,0.0,0,214000.0,127000.0,127000.0
10,24,Married,Matric,Self-employed – Agriculture,2,Smart phone (With data or phone that can do WhatsApp),Yes,No,No card,No,193000.0,0.0,0,238000.0,45000.0,45000.0
10,32,Unmarried,Higher secondary,Self-employed – Agriculture,5,Feature phone/Basic phone,Yes,No,BPL,No,263000.0,80000.0,6000,536000.0,267000.0,347000.0
10,38,Married,Matric,Regular salaried/wage employee,4,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,44000.0,1000.0,0,74000.0,30000.0,31000.0
10,30,Married,Middle,Non-agriculture labour,2,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,68000.0,0.0,4800,110000.0,37200.0,37200.0
10,40,Married,Illiterate,Non-agriculture labour,6,Feature phone/Basic phone,Yes,No,No card,No,146000.0,4200.0,0,250000.0,104000.0,108200.0
10,27,Married,Graduate,Non-agriculture labour,2,Feature phone/Basic phone,Yes,No,No card,No,135000.0,37000.0,0,250000.0,115000.0,152000.0
10,30,Unmarried,Higher secondary,Self-employed – Agriculture,2,Feature phone/Basic phone,Yes,No,BPL,No,178000.0,0.0,0,268000.0,90000.0,90000.0
10,33,Unmarried,Up To Primary,Self-employed – Agriculture,1,,No,No,No card,No,98000.0,0.0,0,238000.0,140000.0,140000.0
10,28,Married,Middle,Self-employed – Agriculture,6,Feature phone/Basic phone,Yes,No,BPL,Yes,38000.0,5000.0,0,80000.0,42000.0,47000.0
10,24,Unmarried,Higher secondary,Self-employed – Agriculture,14,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,No,75000.0,10500.0,10800,210000.0,124200.0,134700.0
10,30,Unmarried,Middle,Regular salaried/wage employee,4,,No,No,No card,No,139000.0,15500.0,0,282000.0,143000.0,158500.0
10,30,Unmarried,Middle,Regular salaried/wage employee,9,,Yes,No,BPL,No,378000.0,21000.0,8800,302000.0,-84800.0,-63800.0
10,18,Unmarried,Matric,Self-employed – Agriculture,3,,Yes,No,No card,No,177000.0,0.0,0,238000.0,61000.0,61000.0
10,25,Married,Illiterate,Self-employed – Agriculture,4,Feature phone/Basic phone,Yes,No,BPL,No,205000.0,0.0,0,238000.0,33000.0,33000.0
10,45,Married,Up To Primary,Agriculture labour,5,,No,No,BPL,Yes,45000.0,25500.0,0,68000.0,23000.0,48500.0
10,65,Married,Illiterate,Regular salaried/wage employee,3,,Yes,No,BPL,Yes,150000.0,47000.0,9600,332000.0,172400.0,219400.0
10,40,Married,Up To Primary,Self-employed – Agriculture,3,Smart phone (With data or phone that can do WhatsApp),Yes,No,No card,No,22000.0,6000.0,6000,48000.0,20000.0,26000.0
10,36,Unmarried,Matric,Agriculture labour,6,Smart phone (With data or phone that can do WhatsApp),Yes,No,BPL,Yes,130000.0,0.0,4800,282000.0,147200.0,147200.0
10,43,Married,Middle,Agriculture labour,6,Smart phone (With data or phone that can do WhatsApp),No,No,BPL,No,33000.0,5000.0,0,60000.0,27000.0,32000.0
10,22,Married,Middle,Self-employed – Agriculture,5,Feature phone/Basic phone,Yes,No,BPL,No,35000.0,3500.0,6000,94000.0,53000.0,56500.0
10,30,Married,Matric,Self-employed – Non-agriculture,9,Smart phone (With data or phone that can do WhatsApp),Yes,No,APL,Yes,134000.0,1000.0,3000,154000.0,17000.0,18000.0
10,45,Married,Illiterate,Self-employed – Agriculture,2,,Yes,No,BPL,No,110000.0,0.0,0,238000.0,128000.0,128000.0
